Name,Calories,FatContent,SaturatedFatContent,CholesterolContent,SodiumContent,CarbohydrateContent,FiberContent,SugarContent,ProteinContent,foodnumber,recommended,tags
"Aloo Tikki, Aloo Tikki, Aloo Tikki, Aloo Tikki, Aloo Tikki",1249,4,1,0,3451,276.5,33.5,14,33.5,0,1,"['15-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'occasion', 'lunch', 'side-dishes', 'snacks', 'asian', 'indian', 'easy', 'beginner-cook', 'dinner-party', 'kid-friendly', 'vegan', 'vegetarian', 'grains', 'stove-top', 'dietary', 'inexpensive', 'toddler-friendly', 'pasta-rice-and-grains', 'equipment', 'presentation', 'served-hot']"
Kadhi Pakora,275,17,3,60,450,21,3,5,12,1,0,"['30-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'appetizers', 'eggs-dairy', 'asian', 'indian']"
"Kadhi Pakora, Palak Paneer",495.3,27.7,9,77.4,896.8,46.1,13.7,12.3,25.8,2,1,"['time-to-make', 'course', 'low-cholesterol', 'low-carb', 'appetizers', 'low-saturated-fat', 'main-ingredient', 'low-calorie', 'dietary', 'asian', 'low-protein', 'low-in-something', 'preparation', 'indian', 'cuisine', 'healthy-2', 'low-sodium', 'vegetarian', 'eggs-dairy', '60-minutes-or-less']"
Bhindi Masala,175,10,2,0,600,15,5,3,7,3,0,"['30-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'low-protein', 'healthy', 'side-dishes', 'vegetables', 'asian', 'indian', 'vegan', 'vegetarian', 'dietary', 'low-sodium', 'low-cholesterol', 'low-calorie', 'low-carb', 'healthy-2', 'low-in-something']"
Kadhi Pakora,275,17,3,60,450,21,3,5,12,4,0,"['30-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'appetizers', 'eggs-dairy', 'asian', 'indian']"
Kadhi Pakora,275,17,3,60,450,21,3,5,12,5,0,"['30-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'appetizers', 'eggs-dairy', 'asian', 'indian']"
Waffles,333.8,15.7,9.3,101.1,531.1,39.5,1.1,4.4,8.5,6,1,"['30-minutes-or-less', 'time-to-make', 'course', 'cuisine', 'preparation', 'north-american', 'pancakes-and-waffles', 'breakfast', 'american', 'stove-top', 'midwestern', 'equipment']"
Chicken Wings,84,6,1.7,29.1,27.6,0,0,0,6.9,7,0,"['60-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'healthy', 'main-dish', 'poultry', 'indian', 'easy', 'chicken', 'meat', 'wings', '3-steps-or-less']"
"Onion Rings, Chicken Wings",293.1,8.8,3.1,58.8,651,39.7,4,6.7,13.9,8,0,"['30-minutes-or-less', 'time-to-make', 'course', '3-steps-or-less', 'main-ingredient', 'appetizers', 'cuisine', 'easy', 'deep-fry', 'poultry', 'indian', 'meat', 'wings', 'low-in-something', 'low-carb', 'onions', 'presentation', 'healthy', 'preparation', 'main-dish', 'served-hot', 'technique', 'chicken', 'dietary']"
Biryani,400,15,3,30,800,40,2,5,15,9,0,"['weeknight', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'main-dish', 'poultry', 'asian', 'indian', 'chicken', 'stove-top', 'dietary', 'low-sodium', 'low-in-something', 'meat', 'chicken-breasts', 'chicken-thighs-legs', 'equipment']"
